sample_id,question,answer_start,answer_end,answer_start_second,answer_end_second,video_length,video_id,video_url,transcript
15,How to do log roll technique from the prone to spine board position?,03:13,04:58,193,298,742,tR4O9pvnFuw,https://www.youtube.com/watch?v=tR4O9pvnFuw,the athlete onto the spawn board the first medical personnel on the scene is the leader this person should issue all commands we need one person at the shoulder one of the leader should take control of the injured person's head the leader holds the head with both hands stabilizing it by holding firmly and allowing no motion position the other rescuers on one side of the injured person one of the chest one of the pelvis and one of the legs place the spine board along the other side of the injured person as close to him or her as possible direct all rescuers to reach across the injured person and grab a hold of the upper arm and shoulder the pelvis and the leg roll the injured person upon the leaders call roll on three ready one two three direct the one remaining rescuer to place the spawn board to where the injured person is just line where the person down on the leaders call down on three one two three slide down on three okay Justin come over here Kelly come over here boy you slide down slide down on three one two three slide up on three one two three 
16,How to remove face mask from the injured person?,05:08,06:05,308,365,742,tR4O9pvnFuw,https://www.youtube.com/watch?v=tR4O9pvnFuw,personnel to examine the airway and vital areas of the face it also allows them to administer pre-hospital care without removing the helmet the facemask should be removed in a timely manner without moving the head or neck pruners FM extractors PVC pipe cutters trainers angels and screwdrivers can be used to remove the facemask although screwdrivers can be unreliable due to rusty T bolts and screws if needed a bag-mask valve can be inserted under the facemask to provide ventilation while the facemask is being removed if a physician or EMS personnel is available a more definitive airway can be secured if such intervention is necessary if the situation is not as urgent a cervical collar can be placed on the athlete who then is placed on a rigid spine board to ensure mobilization of all segmental levels this should only 
17,How to transfer the injured person using spineboard techniques?,07:28,07:53,448,473,742,tR4O9pvnFuw,https://www.youtube.com/watch?v=tR4O9pvnFuw,for all ifs there should be enough ATC's MDS and EMS personnel to effectively administer the 6 plus person lifts you may need a 10 plus person left for heavier individuals you can also use a 4 plus person left for smaller athletes lifting with fewer than 4 people is not 
18,How to transfer the injured person using log roll techniques on to a spine board?,08:07,09:02,487,542,742,tR4O9pvnFuw,https://www.youtube.com/watch?v=tR4O9pvnFuw,the scene is the leader this person should issue all commands the leaders should take control of the injured person's head the leader holds the head with both hands stabilizing it by holding firmly and allowing no motion position the other rescuers on one side of the injured person one of the chests one of the pelvis and one of the legs place the spine board along the other side of the injured person as close to him or her as possible direct all rescuers to reach across the injured person and grab a hold of the upper arm and shoulder pelvis and leg one two three and down on one two three once the athlete is on the spawn board 
19,How to fix a crooked lower back with lying back extensions?,01:03,03:32,63,212,408,EKQCj8LeO_I,https://www.youtube.com/watch?v=EKQCj8LeO_I,and get you feeling better right now so the first exercise is done laying flat you can do this in bed you can do it on the floor on a yoga mat whatever is more comfortable but what you want to do is put a pillow underneath the hips the pelvis and the stomach right here to offer a little bit more support so for the first part what I'm going to do is just prop up on my elbows just like this and you're going to put extension or a backwards movement into the lower back right here that helps facilitate a little bit more of a curve this takes pressure off spinal discs again spinal disc injuries in the lower back are the primary cause for this lateral shift so we want to directly take pressure off those discs as quickly as we can to see if we can get this lateral shift to go away so when I'm doing this exercise if you are tilted to one side you're going to notice that when you lay flat it's not comfortable to go straight you're going to be tilted kind of how you are when you stand up so when you do this you start in a position where you feel comfortable with that you know intelligently towards the opposite side so in this one I'm mimicking a right intelligently and right here so I'm going to do this position for about 15 seconds I'm then just going to relax with it and what I'm going to do is slowly try to straighten myself and then repeat that process I'm going back up on my elbows and I'm trying to put a little bit more of a curb into the lower back only go to your comfort levels if this is causing more discomfort you're going too far with it and discontinue and then slowly build into it instead but with this you should start to notice that you can just slowly start to inch over further with each time that you do it until you are completely straight once you are completely straight you then want to go towards the opposite side very very slowly and keep repeating that process so what I'm doing is I'm inching over towards my left only to the point where I feel a very good stretch and not causing any more discomfort and with this one you're going to notice that you're increasing flexibility towards the opposite side so after doing this you should be able to go straight a lot more easily and with a lot less pain it's very simple to do give it a try and see if it makes a big difference 
20,How to fix a crooked lower back with lying press ups?,03:32,05:28,212,328,408,EKQCj8LeO_I,https://www.youtube.com/watch?v=EKQCj8LeO_I,so with this next one let's build off that first exercise and take it to the next level I'm going to be laying flat again with this one but what I'm going to do whatever site is primarily the focus of pain like let's say you have a lot of right side to pay maybe even like a sciatic pain going down the leg you're going to want to take that sides leg and then slowly start to bring it up towards the upper body just like this it's almost like a position where an RV guy is crawling on the ground that's the best way that I can explain it you - just bring that up to your comfort level give that about a 10 to 15 second hold and then from there go back into the press up stretch that we did earlier you're going to want to give this a 15 to 30 second hold relax and then repeat it a couple times where you're going to want to do then obviously is start to inch over towards the center line just straight in the back and just keep repeating that process slowly until you feel that you are in a straight neutral position with your back and then from there we're going to slowly start to inch towards the opposite side to get that deeper stretch and really help that intelligent lean once this becomes too easy we can progress even further by then going into a full cobra pose like this we're just stretching the arms out completely you want to try to keep the hips the pelvis flat as possible while doing this and I tell you why you're gonna get a great stretch into the lower back this is an extension exercise that helps take pressure out of spinal discs and off pinched nerves which should help you with your intelligent or your crooked back from there hold for 15 to 30 seconds relax repeated a couple times and again if you feel like you're starting off in a crooked posture you're going to want to just slowly progress until it's straight and then keep going towards the opposite side to get that extra stretch that it's going to help 
21,How to fix a crooked lower back with a wall?,05:28,06:36,328,396,408,EKQCj8LeO_I,https://www.youtube.com/watch?v=EKQCj8LeO_I,straighten you out this next one is based off the McKenzie method you can do this one standing you're going to do it against a door or a wall so start off by putting your feet together they should be spaced about 12 inches away from a wall you're going to want to put the side that does not hurt so the good side towards the door what I'm going to do next is then put the good sides shoulder and arm directly against the door so my upper body weight is completely flush with it I should be kind of at an angle what I'm going to do is take the opposite sides hand put it at the hip and then I'm going to drive it towards the door just do this very very slowly you should start to feel a very good stretch into that crooked lower back only go to the point where you feel comfortable after you hit that point hold it for 15 to 30 seconds relax and then repeat up to 3 to 5 times each time you do this you should be able to drive it a little bit further towards that door but this one right here it just puts a lot more motion into the back it's very easy to do and it should help with that crooked 
22,How to tape the big toe joint to treat a sesamoid injury or sprain?,00:00,02:37,0,157,158,bGHe0qCEwGM,https://www.youtube.com/watch?v=bGHe0qCEwGM,hi this is dr polodenker and we're going to go over how to tape the big toe joint for pain underneath the big toe joint sesamoid pain sesamoiditis metatarsalgia basically the goal of the taping is to keep the toe in a plantar flexed downward position the two bones down here the sesamoids are connected with ligaments there are tendons that come in an attachment this way and typically a strain will create pain around this area so if you press around you'll typically have a little bit of tenderness swelling pain so by taping it down it'll relieve some of the tension off the ligaments and the tendons and allow it to heal up if you are active you might need to cut down your activities re-evaluate your shoe gear and the taping will allow you to be more comfortable and recover faster this is a pre-cut kt tape what you're going to do is basically measure it on the bottom of your foot and cut it so that way it ends at about this level of the big toe joint i also like to cut one side bigger than the other it seems to make it easier to stick so then you peel back these layers now remember when you are applying kt tape the beginning and end pieces have no tension on them and the middle aspect is where all the tension takes place after doing this a few times you will also become an expert on taping so we're going to start from here this is just to hold the toe so you don't have to worry about it being perfect next is where the tension comes in so you want to pull the toe in a little bit of a downward position about a 50 pull on the kt tape and you're going to keep applying it till you get to just about the very end stick it down and the end again has no tension you just lay it down depending on the quality of the tape sometimes it'll last you all day sometimes it'll only last a few hours what you can always do is re-tape it you can apply another layer of tape and what you should feel is a pull of the big toe joint in a downward position if you have any questions comments feel free to post them you could find the tape at your local pharmacies or you can purchase them online 
23,How to wrap the shoulder with elastic bandages?,00:04,00:58,4,58,66,Pj5tXyDCOmc,https://www.youtube.com/watch?v=Pj5tXyDCOmc,for best results we recommend that you get assistance when wrapping a shoulder start wrapping on outside of arm just below the point of injury and wrap a full circle around the back of the arm to secure in place wrap up over the shoulder and across the back and continuing under the opposite arm pull across the front of the chest and back over front of shoulder and around the arm creating a figure eight repeat wrapping around the arm several times secure the bandage with the elastic clips or if using the self-adhering bandage by smoothing down the end 
24,How to warm up the neck muscles?,00:26,00:45,26,45,269,JwhN5jRausY,https://www.youtube.com/watch?v=JwhN5jRausY,preventing pain from reoccurring warm-up is essential part of preparation leading to our exercises to achieve best results please spend from one to three minutes rolling and turning your head steadily in noir directions this will eliminate any risk of accidental injuries well 
25,How to stretch the neck to treat a tight neck?,00:45,02:47,45,167,269,JwhN5jRausY,https://www.youtube.com/watch?v=JwhN5jRausY,any risk of accidental injuries well done your warmup is completed all your head towards your chest hold it there for 10 seconds okay go again however this time try to fool your head slightly further hold the stretch for 10 seconds this time try to go as far as possible you should experience that stretch in the middle of the back good shake it off and let's do some more stretch number two start by turning your head to the side and then pull the downwards hold that stretch for about ten seconds go again increase the stretch hold it for just about 10 seconds you should feel it on the side of your neck go again and try to go as far as you can hold the stretch for 10 seconds if you can feel the pull on the top of his shoulder blade you doing it right lovely do exactly the same thing on the other side 
26,How to actively stretch the neck to treat a tight neck?,02:47,04:15,167,255,269,JwhN5jRausY,https://www.youtube.com/watch?v=JwhN5jRausY,active stretches active stretches are quite powerful this is why we only going to do them wands tilt your head and then pull it downwards now imagine you want to touch the floor with the opposite arm this will activate a stretch hold it between 5 and 10 seconds repeat the whole process on the other side turn your head away and then pull the downwards again we are going to use the opposite arm to activate the stretch hold it between 5 and 10 seconds after which change sides and repeat the process you well done do a few head rolls turn your head to the side flex and extend your neck feeling better now right 
27,How to walk with a cane?,02:33,03:28,153,208,727,6GzDzV1wBOs,https://www.youtube.com/watch?v=6GzDzV1wBOs,"Now, this is something a lot of people do not want to do, but just take some stress off the hip when you walk by using a cane. - Yeah, absolutely. This is, I find with some people, because arthritis tends to flare up and it tends to calm down, a lot of times, by using the cane, it tends to calm down faster. - Because you're taking weight off, it's not irritated as much. - Right. And so, we're not telling you that you're going to use it permanently. - Right. - And we're not even saying that you have to do it everywhere. If you don't feel like you want to do it in public, just do it in your home for a while. - Great, limp instead. (laughs) - Yeah, limp instead, which people think they look better when they're limping than using a cane. - Right. So if you got to, you know, get a cane, you adjust it so it's about at wrist level and you're standing tall. If it's your right hip, you use it in your left hand. That's one thing that a lot of people get confused, and just walk normal. When the right leg goes forward, the cane goes down, taking weight off the painful hip. "
28,How to exercise the hip for hip pain relief?,03:37,05:04,217,304,727,6GzDzV1wBOs,https://www.youtube.com/watch?v=6GzDzV1wBOs,"The other one is a little pendulum exercise or kind of, traction on the hip. So, you go up to your stairway. We don't have a stairway here. - Yeah this is a great way to start getting some movement in the hip. - Yep. - Without hurting yourself. - Right. So, my right side is the painful hip. So I'm going to go up with my left, you're going to have to hang on to the handrail. In this case, I'm going to use my Booyah Stik for balance, because you need something for balance, for most people. Now, I'm going to let this leg, the sore leg, completely relax, like all the muscles are jello, and I'm just going to gently swing it forward and backwards; and the reason you want the hip to relax, is the weight of your leg, through relaxed muscles, is going to distract, or pull the joint apart slightly, so you don't have that bone on bone. - A little bit of traction. - Right, you get a synovial fluid. If that's working out great, you may want to put a little weight on. You can use an ankle weight. Now, I've had people just put their winter boots on, up here in the North world, you know. - Oh, that's a good idea. - You know, a boot usually weighs a pound or two, at least. - Nice! - And, you don't have to go out and buy anything, and then, your leg, your hip doesn't know if you've got a boot on or an ankle weight. And, you know, do the same thing, you got to swing it for a minute or two, and I find people have success with that. It's pretty much a temporary thing, but it reduces things. It's a good way to treat it. - Safety first and it starts getting some movement in the hip, which you may not have had for a while, because it's been sore. - Right. "
29,How to stretch the hip for pain relief?,05:39,06:55,339,415,727,6GzDzV1wBOs,https://www.youtube.com/watch?v=6GzDzV1wBOs,"- Yeah, this is nice. You can do it sort of laying in bed, and that's what we recommend. - Yeah, wake up and... - You could do it on the floor, but then you got to get on the floor. It works just as good in bed, and you know, simply lay like this, and then you're going to see how far you can bring your knee up and to your chest. Now, if you can bring this knee all the way up like this, and this one you get about this far, and all of a sudden, oh it hurts, or there's a, we call a hard end tail, doesn't want to go any farther, that's the knee, or that's the hip, you're going to want to work on. So, and I am doing it with the right hip. Let's say this one goes way up to here, and this one stops here and it's tight, and it's a little painful, but if you stretch on it, oh good to relax, and after about 10 repetitions you notice the hip is starting to go up farther, similar to the other leg, then you're going to want to do that stretch, well, at least once a day, but I'm going to suggest two or three times a day, assuming it doesn't get real sore from the stretch. The first couple times you stretch it, you may want to give it, you know, wait until the next day. - [Bob] And I wouldn't expect that it would react that fast. It may take weeks or even months before you start to equal the other one again. - Sure, right. - [Bob] That's a tough fibrous material that is holding the hip together, in the socket, holding the hip in the socket. So, it's not always that easy to stretch. "
30,How to externally rotate the hip for pain relief from arthritis?,06:56,08:32,416,512,727,6GzDzV1wBOs,https://www.youtube.com/watch?v=6GzDzV1wBOs,"- And so, along with that, what you may want to check what we call the external rotation of the hip, and I'm going to go this way so you can see what I'm doing. So, with this leg, I'm going to go over the top of the knee like this, and I'm going to let the knee drop this way. So, you can see, I can go this far, and the hip that has the pain may only go this far, as oppose to like this, like the other leg. So here, all we're doing is gently push the knee, and relax, pressure on, pressure off. And if it feels good to keep the pressure on, you may use that option and hold it 15 to 30 seconds, and not do it maybe as repetitions. But don't, number one thing you don't want to do, is spend 20 minutes stretching your hip. 10 repetitions on and off, or three times 15 to 30 seconds is probably a good place to start. - [Bob] And what's nice about that one, you actually can do that one seated too. - Oh, right. - Brad's going to actually show how to do hip flexion the other way too. You can actually just cross the knee, cross the ankle over the opposite knee, and you can go ahead and just push down like this and give it a bit of a stretch. A lot of people tell me, that last patient that I had that had hip arthritis, they can't even get that leg up there. - Yeah. - That's how tight it's become. - Sure. - So, they might even have to start with the knee down, like this, a little lower, and press it down. But, they know right away what I'm talking about, because, like you said, they can maybe get the one up there, but the other one, ""I can't get that up there."" - Right. - So, it's a great stretch. "
31,How to stretch hip flexors for hip pain relief?,10:09,11:26,609,686,727,6GzDzV1wBOs,https://www.youtube.com/watch?v=6GzDzV1wBOs,"- You bet. The next one, now this is for people probably more mobile. They got hip pain and they got fairly good balance. You see, you can go up to a stairwell or, in this case, a stool, but I'm going to stretch my right hip. I'm going to come up to here and I'm going to go like this, and what's going on is my hip is flexing. You see how my knee is coming towards my chest? So, that's a lot of hip flexion and it drops in. You know, this has got to assume you have a good knee too. But it will stretch your knee if you need some working on that. You get two joints at once. - The stairs work great for this, Brad, because I've had even really quite elderly people able to do this one, because they start off on this first step. - Yep. - You know, they start there, and a lot of times there's two railings. - Right. So they got to hold on. - Yeah, they got to hang on to and I have found most people can do that. If they can climb stairs, they can usually do this stretch. - Yep, as long as there's hand railings. - Yep. So, it's a fantastic stretch. - Now, I do mine way up like this. Of course, I'm younger and I'm... But, it really helps I've got a side joint from. So, you know, this is not only just doing the hip, it could be, you know, work the nether muscles in the joint as well. - Well, what's nice is he's actually stretching the hip flexor on the opposite side. - Right. - So, you're actually getting two stretches in one here. - You can see it better here. You're getting this muscle and you're getting this bright. - Which also helps hip pain. You're getting a double bonus there. - There you go. - A great stretch to do it. "
32,How to perform head-tilt chin-lift maneuver?,01:44,02:09,104,129,216,HIwIusfXhkM,https://www.youtube.com/watch?v=HIwIusfXhkM,Look in the mouth and remove any objects. If they begin breathing roll them onto the left side into the recovery position 
33,How to perform the Heimlich maneuver for choking?,00:57,01:29,57,89,216,HIwIusfXhkM,https://www.youtube.com/watch?v=HIwIusfXhkM,"So quickly get behind your victim Placing your leg in between there's this gives you more power and better control then reach around the stomach Find the belly button with one finger. This is your landmark for the diaphragm their breathing muscle Then make a fist with the other hand place the thumb side just against their stomach just above your finger this will keep you just below the ribcage to avoid injuring the victim, then grab your fist with the other hand and begin forcibly thrusting inward and upward repeatedly until the victim coughs up the object or becomes unresponsive. If they become unresponsive, "
34,How to perform Heimlich maneuver on infants for choking?,02:10,02:40,130,160,216,HIwIusfXhkM,https://www.youtube.com/watch?v=HIwIusfXhkM,"For infants the technique is completely different you will hold the baby by supporting the head with one [hand] and arm You will give 5 back slaps Between the baby's shoulder blades with the heel of the hand if the object does not come up then roll the baby's face up. place two fingers, one finger below mid nipple line and deliver five chest thrusts at about one per second and about one and a half inches deep You will continue these cycles until the object is expelled or the infant becomes unresponsive If the infant becomes unresponsive you will begin infant CPR "
